Stocks,Weights
ATVI,0.0
ADBE,0.026175860482811782
AMD,0.0
ALXN,0.0
ALGN,0.0
GOOGL,0.09143716891797854
GOOG,0.0
AMZN,0.09915201712898804
AMGN,0.0074883828341148475
ADI,0.0
ANSS,0.0
AAPL,0.10513022513887632
AMAT,0.008899342571413947
ASML,0.0
ADSK,0.0
ADP,0.025137630747664473
BIDU,0.006288002863660119
BIIB,0.008723673196554406
BMRN,0.005843269249271081
BKNG,0.011911241807347742
AVGO,0.014220963174201962
CDNS,0.0
CDW,0.00709888601716997
CERN,0.0
CHTR,0.005478954333642845
CHKP,0.0
CTAS,0.0
CSCO,0.027847560067903905
CTXS,0.0
CTSH,0.0
CMCSA,0.03160928091527456
CPRT,0.0
COST,0.017866290449951826
CSX,0.0
DXCM,0.0
DOCU,0.0
DLTR,0.004416237594403783
EBAY,0.010464105714937971
EA,0.006725438764792055
EXC,0.0
EXPE,0.0
FB,0.04835118797413327
FAST,0.005224150186781622
FISV,0.0
GILD,0.01452052764572394
IDXX,0.0
ILMN,0.006774304184999914
INCY,0.006397346217050776
INTC,0.02820417214060752
INTU,0.0
ISRG,0.009893497163406694
JD,0.0
KLAC,0.0
KHC,0.005081647305245529
LRCX,0.0
LBTYA,0.0
LBTYK,0.005203096616158159
LULU,0.0
MAR,0.012320340524643163
MXIM,0.015967934651168927
MELI,0.003640912370648141
MCHP,0.0
MU,0.012218723273785637
MSFT,0.09305523081335237
MRNA,0.0
MDLZ,0.015151445173740554
MNST,0.0
NTES,0.0
NFLX,0.020922256550592894
NVDA,0.010693829316295986
NXPI,0.0
ORLY,0.009498097335305418
PCAR,0.00891803612402357
PAYX,0.01384934729419227
PYPL,0.025053877318062367
PEP,0.02819253058508026
PDD,0.0
QCOM,0.01018960193771331
REGN,0.0
ROST,0.0
SGEN,0.0
SIRI,0.0
SWKS,0.0
SPLK,0.0
SBUX,0.0
SNPS,0.010569003034723287
TMUS,0.0
TTWO,0.0
TSLA,0.005874456166550545
TXN,0.01979401626272174
TCOM,0.0
ULTA,0.004650230958025567
VRSN,0.01069245132709518
VRSK,0.0
VRTX,0.00866161090788022
WBA,0.008521606669330823
WDAY,0.0
WDC,0.0
XEL,0.0
XLNX,0.0
