m Stocks,Total Absolute Deviation: 2020,Total Absolute Deviation: 2019
5,0.8696699433741901,0.7891782824631475
10,0.8313165184500244,0.686533011145812
20,0.6523378586362023,0.4788357879113355
30,0.5490849328816374,0.4180147550230181
40,0.5873120559530011,0.37051722255520547
50,0.5811479442370262,0.3325400929154759
60,0.8194235991971974,0.34488997906451396
70,0.4024969546377645,0.169823718275309
80,0.38643078535726594,0.1476825280009616
90,0.24758163037063727,0.053779189845472315
100,0.2499432743403039,0.04491081639360385
